name,calls,total_seconds,self_seconds,children_seconds,avg_self_seconds,total_bytes
root,1,3971.474282,25.510367,3945.963916,25.510367,0
root:jackknife:file_io:genotype:transform,454207,1136.794386,1136.794386,0.000000,0.002503,0
root:substract,1,505.034921,505.034921,0.000000,505.034921,0
root:jackknife:bins:compute_gxe:UXXz,400,736.128894,384.429341,351.699553,0.961073,0
root:trace_estimation,101,380.645787,380.644502,0.001285,3.768757,0
root:jackknife:bins:compute_gxe:XXUz:XXz:Xt_v,400,282.895233,282.895233,0.000000,0.707238,0
root:jackknife:bins:compute_gxe:UXXz:XXz:Xt_v,400,282.614743,282.614743,0.000000,0.706537,0
root:jackknife:file_io:genotype:compute_maf,454207,223.292981,223.292981,0.000000,0.000492,0
root:jackknife:bins:compute:UXXz,100,91.111472,91.111472,0.000000,0.911115,0
root:jackknife:bins:compute_gxe:XXUz,400,435.945048,83.393517,352.551531,0.208484,0
root:jackknife:file_io:genotype,100,1434.903669,74.816301,1360.087367,0.748163,0
root:jackknife:bins:compute:XXz:XXz:Xt_v,100,71.126941,71.126941,0.000000,0.711269,0
root:jackknife:bins:compute:XXUz:XXz:Xt_v,100,71.088302,71.088302,0.000000,0.710883,0
root:jackknife:bins:matrix_setup:matmult_setup,100,56.621979,56.621979,0.000000,0.566220,0
root:jackknife:bins:compute_gxe:XXUz:XXz:Xv,400,52.803630,52.803630,0.000000,0.132009,0
root:jackknife:bins:compute_gxe:UXXz:XXz:Xv,400,52.423329,52.423329,0.000000,0.131058,0
root:jackknife:bins:matrix_cleanup,100,36.308585,36.308585,0.000000,0.363086,0
root:jackknife:bins:matrix_setup,100,84.494879,27.872899,56.621979,0.278729,0
root:jackknife:bins:compute_gxe:yXXy:yXXy:Xv,400,23.466887,23.466887,0.000000,0.058667,0
root:jackknife:bins:compute:XXUz,100,108.576839,19.198113,89.378726,0.191981,0
root:jackknife:bins:compute_gxe:XXUz:XXz,400,352.551531,16.852668,335.698863,0.042132,0
root:jackknife:bins:compute_gxe:UXXz:XXz,400,351.699553,16.661481,335.038072,0.041654,0
root:jackknife:bins:compute:XXUz:XXz:Xv,100,13.880116,13.880116,0.000000,0.138801,0
root:jackknife:bins:compute:XXz:XXz:Xv,100,13.261139,13.261139,0.000000,0.132611,0
root:jackknife:matrix_setup,100,10.811211,10.811211,0.000000,0.108112,0
root:jackknife:bins:compute:yXXy:yXXy:Xv,100,5.901503,5.901503,0.000000,0.059015,0
root:jackknife:bins:compute:XXUz:XXz,100,89.378726,4.410308,84.968418,0.044103,0
root:jackknife:bins:compute:XXz:XXz,100,88.568299,4.180219,84.388080,0.041802,0
root:file_io:covariate,1,0.829077,0.829077,0.000000,0.829077,0
root:jackknife:bins:compute_gxe:yXXy,400,24.227259,0.693906,23.533352,0.001735,0
root:file_io,1,1.953096,0.542755,1.410341,0.542755,0
root:initialize,1,0.798157,0.485881,0.312276,0.485881,0
root:jackknife:bins:compute:XXz,100,89.044036,0.475737,88.568299,0.004757,0
root:file_io:environment,1,0.332700,0.332700,0.000000,0.332700,0
root:initialize:covariate_regression,1,0.312276,0.312276,0.000000,0.312276,0
root:file_io:phenotype,1,0.184060,0.184060,0.000000,0.184060,0
root:jackknife:bins:compute_gxe:yXXy:yXXy,400,23.533352,0.066465,23.466887,0.000166,0
root:file_io:annotation,1,0.064505,0.064505,0.000000,0.064505,0
root:jackknife:bins:compute:yXXy:yXXy,100,5.956445,0.054942,5.901503,0.000549,0
root:jackknife:bins:compute_gxe,100,1196.312603,0.011402,1196.301201,0.000114,0
root:jackknife,100,3057.531954,0.004860,3057.527094,0.000049,0
root:jackknife:bins:compute,200,294.692582,0.003336,294.689247,0.000017,0
root:jackknife:bins,100,1611.811904,0.003256,1611.808649,0.000033,0
root:trace_estimation:linear_solve,101,0.001285,0.001285,0.000000,0.000013,0
root:jackknife:bins:compute:yXXy,100,5.956899,0.000454,5.956445,0.000005,0
root:jackknife:file_io,100,1434.903978,0.000309,1434.903669,0.000003,0
