name,calls,total_seconds,self_seconds,children_seconds,avg_self_seconds,total_bytes
root,1,6331.521954,65.325506,6266.196448,65.325506,0
root:jackknife:file_io:genotype:transform,454207,1129.103323,1129.103323,0.000000,0.002486,0
root:jackknife:bins:compute_gxe:UXXz:XXz:Xt_v,400,635.063245,635.063245,0.000000,1.587658,0
root:jackknife:bins:compute_gxe:XXUz:XXz:Xt_v,400,632.899994,632.899994,0.000000,1.582250,0
root:jackknife:bins:compute_gxe:XXUz:XXz:Xv,400,547.049278,547.049278,0.000000,1.367623,0
root:jackknife:bins:compute_gxe:UXXz:XXz:Xv,400,543.803918,543.803918,0.000000,1.359510,0
root:substract,1,504.495365,504.495365,0.000000,504.495365,0
root:jackknife:bins:compute_gxe:UXXz,400,1614.681404,416.522094,1198.159310,1.041305,0
root:trace_estimation,101,390.676746,390.675465,0.001281,3.868074,0
root:jackknife:bins:compute_gxe:yXXy:yXXy:Xv,400,235.541528,235.541528,0.000000,0.588854,0
root:jackknife:file_io:genotype:compute_maf,454207,221.819366,221.819366,0.000000,0.000488,0
root:jackknife:bins:compute:XXUz:XXz:Xt_v,100,156.371453,156.371453,0.000000,1.563715,0
root:jackknife:bins:compute:XXz:XXz:Xt_v,100,156.326032,156.326032,0.000000,1.563260,0
root:jackknife:bins:compute:XXUz:XXz:Xv,100,138.088799,138.088799,0.000000,1.380888,0
root:jackknife:bins:compute:XXz:XXz:Xv,100,135.553320,135.553320,0.000000,1.355533,0
root:jackknife:bins:compute:UXXz,100,94.006255,94.006255,0.000000,0.940063,0
root:jackknife:bins:compute_gxe:XXUz,400,1284.991436,85.777605,1199.213831,0.214444,0
root:jackknife:file_io:genotype,100,1411.011731,60.089042,1350.922690,0.600890,0
root:jackknife:bins:compute:yXXy:yXXy:Xv,100,58.223957,58.223957,0.000000,0.582240,0
root:jackknife:bins:matrix_setup,100,40.435207,26.706296,13.728912,0.267063,0
root:jackknife:bins:compute:XXUz,100,318.787504,19.499440,299.288065,0.194994,0
root:jackknife:bins:compute_gxe:UXXz:XXz,400,1198.159310,19.292147,1178.867163,0.048230,0
root:jackknife:bins:compute_gxe:XXUz:XXz,400,1199.213831,19.264558,1179.949272,0.048161,0
root:jackknife:bins:matrix_setup:matmult_setup,100,13.728912,13.728912,0.000000,0.137289,0
root:jackknife:matrix_setup,100,10.447410,10.447410,0.000000,0.104474,0
root:jackknife:bins:compute:XXUz:XXz,100,299.288065,4.827813,294.460252,0.048278,0
root:jackknife:bins:compute:XXz:XXz,100,296.636451,4.757099,291.879352,0.047571,0
root:jackknife:bins:matrix_cleanup,100,2.331833,2.331833,0.000000,0.023318,0
root:file_io:covariate,1,0.771017,0.771017,0.000000,0.771017,0
root:jackknife:bins:compute_gxe:yXXy,400,236.280243,0.671771,235.608472,0.001679,0
root:file_io,1,1.841285,0.504983,1.336302,0.504983,0
root:initialize,1,0.795182,0.486214,0.308968,0.486214,0
root:jackknife:bins:compute:XXz,100,297.114210,0.477759,296.636451,0.004778,0
root:file_io:environment,1,0.321085,0.321085,0.000000,0.321085,0
root:initialize:covariate_regression,1,0.308968,0.308968,0.000000,0.308968,0
root:file_io:phenotype,1,0.182289,0.182289,0.000000,0.182289,0
root:jackknife:bins:compute_gxe:yXXy:yXXy,400,235.608472,0.066944,235.541528,0.000167,0
root:file_io:annotation,1,0.061910,0.061910,0.000000,0.061910,0
root:jackknife:bins:compute:yXXy:yXXy,100,58.278162,0.054205,58.223957,0.000542,0
root:jackknife:bins:compute_gxe,100,3135.963886,0.010802,3135.953083,0.000108,0
root:jackknife,100,5368.387869,0.005090,5368.382779,0.000051,0
root:jackknife:bins:compute,200,768.189599,0.003074,768.186525,0.000015,0
root:jackknife:bins,100,3946.923380,0.002856,3946.920524,0.000029,0
root:trace_estimation:linear_solve,101,0.001281,0.001281,0.000000,0.000013,0
root:jackknife:bins:compute:yXXy,100,58.278556,0.000394,58.278162,0.000004,0
root:jackknife:file_io,100,1411.011989,0.000258,1411.011731,0.000003,0
