name,calls,total_seconds,self_seconds,children_seconds,avg_self_seconds,total_bytes
root,1,3938.636533,25.703004,3912.933529,25.703004,0
root:jackknife:file_io:genotype:transform,454207,1132.613662,1132.613662,0.000000,0.002494,0
root:substract,1,505.189827,505.189827,0.000000,505.189827,0
root:trace_estimation,101,387.145001,387.143797,0.001204,3.833107,0
root:jackknife:bins:compute_gxe:UXXz,400,714.859619,364.384758,350.474861,0.910962,0
root:jackknife:file_io:genotype:compute_maf,454207,222.483828,222.483828,0.000000,0.000490,0
root:jackknife:bins:compute_gxe:XXUz:XXz:Xt_v,400,193.306350,193.306350,0.000000,0.483266,0
root:jackknife:bins:compute_gxe:UXXz:XXz:Xt_v,400,192.399152,192.399152,0.000000,0.480998,0
root:jackknife:bins:compute_gxe:XXUz:XXz:Xv,400,141.669202,141.669202,0.000000,0.354173,0
root:jackknife:bins:compute_gxe:UXXz:XXz:Xv,400,141.657245,141.657245,0.000000,0.354143,0
root:jackknife:bins:compute_gxe:XXUz,400,444.337157,92.706609,351.630548,0.231767,0
root:jackknife:bins:compute:UXXz,100,85.593267,85.593267,0.000000,0.855933,0
root:jackknife:file_io:genotype,100,1440.050073,84.952584,1355.097489,0.849526,0
root:jackknife:bins:compute_gxe:yXXy:yXXy:Xv,400,59.413511,59.413511,0.000000,0.148534,0
root:jackknife:bins:compute:XXz:XXz:Xt_v,100,48.065772,48.065772,0.000000,0.480658,0
root:jackknife:bins:compute:XXUz:XXz:Xt_v,100,47.862557,47.862557,0.000000,0.478626,0
root:jackknife:bins:compute:XXUz:XXz:Xv,100,36.639949,36.639949,0.000000,0.366399,0
root:jackknife:bins:compute:XXz:XXz:Xv,100,35.566515,35.566515,0.000000,0.355665,0
root:jackknife:bins:matrix_setup,100,44.028995,26.467867,17.561128,0.264679,0
root:jackknife:bins:compute:XXUz,100,109.663874,20.920954,88.742920,0.209210,0
root:jackknife:bins:matrix_setup:matmult_setup,100,17.561128,17.561128,0.000000,0.175611,0
root:jackknife:bins:compute_gxe:XXUz:XXz,400,351.630548,16.654997,334.975552,0.041637,0
root:jackknife:bins:compute_gxe:UXXz:XXz,400,350.474861,16.418465,334.056397,0.041046,0
root:jackknife:bins:compute:yXXy:yXXy:Xv,100,14.733930,14.733930,0.000000,0.147339,0
root:jackknife:matrix_setup,100,10.786237,10.786237,0.000000,0.107862,0
root:jackknife:bins:matrix_cleanup,100,5.518724,5.518724,0.000000,0.055187,0
root:jackknife:bins:compute:XXUz:XXz,100,88.742920,4.240413,84.502506,0.042404,0
root:jackknife:bins:compute:XXz:XXz,100,87.698645,4.066358,83.632286,0.040664,0
root:file_io:covariate,1,0.771742,0.771742,0.000000,0.771742,0
root:jackknife:bins:compute_gxe:yXXy,400,60.133596,0.656738,59.476858,0.001642,0
root:file_io,1,1.853551,0.510684,1.342866,0.510684,0
root:initialize,1,0.800212,0.488099,0.312113,0.488099,0
root:jackknife:bins:compute:XXz,100,88.163742,0.465097,87.698645,0.004651,0
root:file_io:environment,1,0.324061,0.324061,0.000000,0.324061,0
root:initialize:covariate_regression,1,0.312113,0.312113,0.000000,0.312113,0
root:file_io:phenotype,1,0.184470,0.184470,0.000000,0.184470,0
root:jackknife:bins:compute_gxe:yXXy:yXXy,400,59.476858,0.063347,59.413511,0.000158,0
root:file_io:annotation,1,0.062593,0.062593,0.000000,0.062593,0
root:jackknife:bins:compute:yXXy:yXXy,100,14.787380,0.053450,14.733930,0.000534,0
root:jackknife:bins:compute_gxe,100,1219.341244,0.010872,1219.330372,0.000109,0
root:jackknife,100,3017.944939,0.004805,3017.940133,0.000048,0
root:jackknife:bins:compute,200,298.211684,0.003025,298.208659,0.000015,0
root:jackknife:bins,100,1567.103570,0.002922,1567.100647,0.000029,0
root:trace_estimation:linear_solve,101,0.001204,0.001204,0.000000,0.000012,0
root:jackknife:bins:compute:yXXy,100,14.787776,0.000396,14.787380,0.000004,0
root:jackknife:file_io,100,1440.050326,0.000253,1440.050073,0.000003,0
