name,calls,total_seconds,self_seconds,children_seconds,avg_self_seconds,total_bytes
root,1,7824.004141,25.450300,7798.553841,25.450300,0
root:jackknife:bins:compute_gxe:UXXz:XXz:Xt_v,400,1362.646920,1362.646920,0.000000,3.406617,0
root:jackknife:bins:compute_gxe:XXUz:XXz:Xt_v,400,1357.609831,1357.609831,0.000000,3.394025,0
root:jackknife:file_io:genotype:transform,454207,1137.171238,1137.171238,0.000000,0.002504,0
root:jackknife:bins:matrix_setup:matmult_setup,100,696.826010,696.826010,0.000000,6.968260,0
root:jackknife:bins:matrix_cleanup,100,544.037930,544.037930,0.000000,5.440379,0
root:substract,1,494.848112,494.848112,0.000000,494.848112,0
root:trace_estimation,101,372.400900,372.397627,0.003273,3.687105,0
root:jackknife:bins:compute_gxe:UXXz,400,1781.078540,362.050468,1419.028073,0.905126,0
root:jackknife:bins:compute:XXz:XXz:Xt_v,100,344.044636,344.044636,0.000000,3.440446,0
root:jackknife:bins:compute:XXUz:XXz:Xt_v,100,338.571259,338.571259,0.000000,3.385713,0
root:jackknife:file_io:genotype:compute_maf,454207,223.149434,223.149434,0.000000,0.000491,0
root:jackknife:bins:compute_gxe:XXUz,400,1541.008311,127.504626,1413.503685,0.318762,0
root:jackknife:file_io:genotype,100,1476.428291,116.107619,1360.320672,1.161076,0
root:jackknife:bins:compute:UXXz,100,83.758848,83.758848,0.000000,0.837588,0
root:jackknife:bins:compute_gxe:UXXz:XXz:Xv,400,39.038256,39.038256,0.000000,0.097596,0
root:jackknife:bins:compute_gxe:XXUz:XXz:Xv,400,38.911853,38.911853,0.000000,0.097280,0
root:jackknife:bins:compute:XXUz,100,380.860114,27.942523,352.917591,0.279425,0
root:jackknife:bins:matrix_setup,100,723.984653,27.158643,696.826010,0.271586,0
root:jackknife:bins:compute_gxe:yXXy:yXXy:Xv,400,18.765942,18.765942,0.000000,0.046915,0
root:jackknife:bins:compute_gxe:UXXz:XXz,400,1419.028073,17.342897,1401.685176,0.043357,0
root:jackknife:bins:compute_gxe:XXUz:XXz,400,1413.503685,16.982001,1396.521684,0.042455,0
root:jackknife:matrix_setup,100,10.943322,10.943322,0.000000,0.109433,0
root:jackknife:bins:compute:XXUz:XXz:Xv,100,9.960893,9.960893,0.000000,0.099609,0
root:jackknife:bins:compute:XXz:XXz:Xv,100,9.743946,9.743946,0.000000,0.097439,0
root:jackknife:bins:compute:XXz:XXz,100,360.344183,6.555601,353.788581,0.065556,0
root:jackknife:bins:compute:yXXy:yXXy:Xv,100,4.677736,4.677736,0.000000,0.046777,0
root:jackknife:bins:compute:XXUz:XXz,100,352.917591,4.385440,348.532151,0.043854,0
root:jackknife:bins:compute:XXz,100,361.641770,1.297587,360.344183,0.012976,0
root:file_io:covariate,1,0.874923,0.874923,0.000000,0.874923,0
root:file_io,1,2.468456,0.766482,1.701974,0.766482,0
root:jackknife:bins:compute_gxe:yXXy,400,19.529963,0.697906,18.832057,0.001745,0
root:initialize,1,0.809205,0.495722,0.313483,0.495722,0
root:file_io:environment,1,0.473124,0.473124,0.000000,0.473124,0
root:initialize:covariate_regression,1,0.313483,0.313483,0.000000,0.313483,0
root:file_io:phenotype,1,0.262763,0.262763,0.000000,0.262763,0
root:file_io:annotation,1,0.091164,0.091164,0.000000,0.091164,0
root:jackknife:bins:compute_gxe:yXXy:yXXy,400,18.832057,0.066115,18.765942,0.000165,0
root:jackknife:bins:compute:yXXy:yXXy,100,4.732287,0.054550,4.677736,0.000546,0
root:jackknife:bins:compute_gxe,100,3341.627784,0.010969,3341.616815,0.000110,0
root:jackknife,100,6928.027167,0.004937,6928.022230,0.000049,0
root:jackknife:bins,100,5440.650333,0.003374,5440.646959,0.000034,0
root:trace_estimation:linear_solve,101,0.003273,0.003273,0.000000,0.000032,0
root:jackknife:bins:compute,200,830.996591,0.003200,830.993392,0.000016,0
root:jackknife:bins:compute:yXXy,100,4.732660,0.000374,4.732287,0.000004,0
root:jackknife:file_io,100,1476.428575,0.000284,1476.428291,0.000003,0
