name,calls,total_seconds,self_seconds,children_seconds,avg_self_seconds,total_bytes
root,1,4498.883943,25.546206,4473.337737,25.546206,0
root:jackknife:file_io:genotype:transform,454207,1140.263936,1140.263936,0.000000,0.002510,0
root:substract,1,506.104923,506.104923,0.000000,506.104923,0
root:jackknife:bins:compute_gxe:XXUz:XXz:Xt_v,400,406.835669,406.835669,0.000000,1.017089,0
root:jackknife:bins:compute_gxe:UXXz:XXz:Xt_v,400,406.433762,406.433762,0.000000,1.016084,0
root:jackknife:bins:compute_gxe:UXXz,400,896.317199,386.419194,509.898005,0.966048,0
root:trace_estimation,101,382.222555,382.221290,0.001265,3.784369,0
root:jackknife:file_io:genotype:compute_maf,454207,224.161442,224.161442,0.000000,0.000494,0
root:jackknife:bins:compute_gxe:XXUz,400,612.256721,102.789395,509.467326,0.256973,0
root:jackknife:bins:compute:XXz:XXz:Xt_v,100,100.023618,100.023618,0.000000,1.000236,0
root:jackknife:bins:compute:XXUz:XXz:Xt_v,100,100.008720,100.008720,0.000000,1.000087,0
root:jackknife:bins:matrix_setup:matmult_setup,100,96.812020,96.812020,0.000000,0.968120,0
root:jackknife:bins:compute:UXXz,100,90.180324,90.180324,0.000000,0.901803,0
root:jackknife:file_io:genotype,100,1451.526543,87.101165,1364.425378,0.871012,0
root:jackknife:bins:compute_gxe:UXXz:XXz:Xv,400,85.156829,85.156829,0.000000,0.212892,0
root:jackknife:bins:compute_gxe:XXUz:XXz:Xv,400,84.268043,84.268043,0.000000,0.210670,0
root:jackknife:bins:matrix_cleanup,100,72.687070,72.687070,0.000000,0.726871,0
root:jackknife:bins:compute_gxe:yXXy:yXXy:Xv,400,38.373306,38.373306,0.000000,0.095933,0
root:jackknife:bins:matrix_setup,100,123.896015,27.083995,96.812020,0.270840,0
root:jackknife:bins:compute:XXUz,100,150.113774,23.595381,126.518393,0.235954,0
root:jackknife:bins:compute:XXUz:XXz:Xv,100,21.830315,21.830315,0.000000,0.218303,0
root:jackknife:bins:compute:XXz:XXz:Xv,100,21.128405,21.128405,0.000000,0.211284,0
root:jackknife:bins:compute_gxe:XXUz:XXz,400,509.467326,18.363614,491.103713,0.045909,0
root:jackknife:bins:compute_gxe:UXXz:XXz,400,509.898005,18.307413,491.590591,0.045769,0
root:jackknife:matrix_setup,100,10.609827,10.609827,0.000000,0.106098,0
root:jackknife:bins:compute:yXXy:yXXy:Xv,100,9.541841,9.541841,0.000000,0.095418,0
root:jackknife:bins:compute:XXUz:XXz,100,126.518393,4.679358,121.839035,0.046794,0
root:jackknife:bins:compute:XXz:XXz,100,125.414050,4.262027,121.152024,0.042620,0
root:file_io:covariate,1,0.827171,0.827171,0.000000,0.827171,0
root:jackknife:bins:compute_gxe:yXXy,400,39.174666,0.734164,38.440503,0.001835,0
root:file_io,1,1.938744,0.527085,1.411660,0.527085,0
root:initialize,1,0.793276,0.481391,0.311885,0.481391,0
root:jackknife:bins:compute:XXz,100,125.894267,0.480217,125.414050,0.004802,0
root:file_io:environment,1,0.336000,0.336000,0.000000,0.336000,0
root:initialize:covariate_regression,1,0.311885,0.311885,0.000000,0.311885,0
root:file_io:phenotype,1,0.183659,0.183659,0.000000,0.183659,0
root:jackknife:bins:compute_gxe:yXXy:yXXy,400,38.440503,0.067196,38.373306,0.000168,0
root:file_io:annotation,1,0.064828,0.064828,0.000000,0.064828,0
root:jackknife:bins:compute:yXXy:yXXy,100,9.596546,0.054705,9.541841,0.000547,0
root:jackknife:bins:compute_gxe,100,1547.761259,0.012672,1547.748586,0.000127,0
root:jackknife,100,3582.278238,0.005053,3582.273185,0.000051,0
root:jackknife:bins,100,2120.136510,0.003423,2120.133087,0.000034,0
root:jackknife:bins:compute,200,375.788743,0.003362,375.785381,0.000017,0
root:trace_estimation:linear_solve,101,0.001265,0.001265,0.000000,0.000013,0
root:jackknife:bins:compute:yXXy,100,9.597015,0.000469,9.596546,0.000005,0
root:jackknife:file_io,100,1451.526848,0.000305,1451.526543,0.000003,0
