name,calls,total_seconds,self_seconds,children_seconds,avg_self_seconds,total_bytes
root,1,3719.688071,25.462109,3694.225962,25.462109,0
root:jackknife:file_io:genotype:transform,454207,1145.887773,1145.887773,0.000000,0.002523,0
root:substract,1,491.614952,491.614952,0.000000,491.614952,0
root:trace_estimation,101,385.823934,385.822735,0.001198,3.820027,0
root:jackknife:bins:compute_gxe:UXXz,400,661.025472,382.887613,278.137859,0.957219,0
root:jackknife:file_io:genotype:compute_maf,454207,224.242807,224.242807,0.000000,0.000494,0
root:jackknife:bins:compute_gxe:XXUz:XXz:Xt_v,400,175.815912,175.815912,0.000000,0.439540,0
root:jackknife:bins:compute_gxe:UXXz:XXz:Xt_v,400,175.360558,175.360558,0.000000,0.438401,0
root:jackknife:bins:compute_gxe:XXUz,400,365.157305,87.466599,277.690706,0.218666,0
root:jackknife:bins:compute:UXXz,100,87.199478,87.199478,0.000000,0.871995,0
root:jackknife:bins:compute_gxe:UXXz:XXz:Xv,400,83.159294,83.159294,0.000000,0.207898,0
root:jackknife:bins:compute_gxe:XXUz:XXz:Xv,400,82.629151,82.629151,0.000000,0.206573,0
root:jackknife:file_io:genotype,100,1424.511943,54.381364,1370.130579,0.543814,0
root:jackknife:bins:compute:XXUz:XXz:Xt_v,100,43.900045,43.900045,0.000000,0.439000,0
root:jackknife:bins:compute:XXz:XXz:Xt_v,100,43.794439,43.794439,0.000000,0.437944,0
root:jackknife:bins:compute_gxe:yXXy:yXXy:Xv,400,31.782246,31.782246,0.000000,0.079456,0
root:jackknife:bins:matrix_setup,100,55.420138,30.460201,24.959936,0.304602,0
root:jackknife:bins:matrix_setup:matmult_setup,100,24.959936,24.959936,0.000000,0.249599,0
root:jackknife:bins:compute:XXz:XXz:Xv,100,20.626260,20.626260,0.000000,0.206263,0
root:jackknife:bins:compute:XXUz,100,89.667924,20.548502,69.119423,0.205485,0
root:jackknife:bins:compute:XXUz:XXz:Xv,100,20.338103,20.338103,0.000000,0.203381,0
root:jackknife:bins:compute_gxe:UXXz:XXz,400,278.137859,19.618007,258.519852,0.049045,0
root:jackknife:bins:compute_gxe:XXUz:XXz,400,277.690706,19.245642,258.445063,0.048114,0
root:jackknife:bins:matrix_cleanup,100,10.479401,10.479401,0.000000,0.104794,0
root:jackknife:matrix_setup,100,10.425784,10.425784,0.000000,0.104258,0
root:jackknife:bins:compute:yXXy:yXXy:Xv,100,7.851761,7.851761,0.000000,0.078518,0
root:jackknife:bins:compute:XXUz:XXz,100,69.119423,4.881275,64.238147,0.048813,0
root:jackknife:bins:compute:XXz:XXz,100,69.207065,4.786366,64.420699,0.047864,0
root:file_io:covariate,1,0.826190,0.826190,0.000000,0.826190,0
root:jackknife:bins:compute_gxe:yXXy,400,32.536197,0.686936,31.849261,0.001717,0
root:file_io,1,1.952960,0.539179,1.413781,0.539179,0
root:initialize,1,0.798311,0.485618,0.312693,0.485618,0
root:jackknife:bins:compute:XXz,100,69.680234,0.473169,69.207065,0.004732,0
root:file_io:environment,1,0.338928,0.338928,0.000000,0.338928,0
root:initialize:covariate_regression,1,0.312693,0.312693,0.000000,0.312693,0
root:file_io:phenotype,1,0.185501,0.185501,0.000000,0.185501,0
root:jackknife:bins:compute_gxe:yXXy:yXXy,400,31.849261,0.067015,31.782246,0.000168,0
root:file_io:annotation,1,0.063161,0.063161,0.000000,0.063161,0
root:jackknife:bins:compute:yXXy:yXXy,100,7.906382,0.054621,7.851761,0.000546,0
root:jackknife:bins:compute_gxe,100,1058.731822,0.012848,1058.718974,0.000128,0
root:jackknife,100,2814.035806,0.005083,2814.030723,0.000051,0
root:jackknife:bins:compute,200,254.458054,0.003602,254.454452,0.000018,0
root:jackknife:bins,100,1379.092685,0.003271,1379.089415,0.000033,0
root:trace_estimation:linear_solve,101,0.001198,0.001198,0.000000,0.000012,0
root:jackknife:bins:compute:yXXy,100,7.906816,0.000434,7.906382,0.000004,0
root:jackknife:file_io,100,1424.512253,0.000311,1424.511943,0.000003,0
