name,calls,total_seconds,self_seconds,children_seconds,avg_self_seconds,total_bytes
root,1,5349.108551,25.326956,5323.781594,25.326956,0
root:jackknife:file_io:genotype:transform,454207,1141.040819,1141.040819,0.000000,0.002512,0
root:jackknife:bins:compute_gxe:XXUz:XXz:Xt_v,400,620.029232,620.029232,0.000000,1.550073,0
root:jackknife:bins:compute_gxe:UXXz:XXz:Xt_v,400,616.040724,616.040724,0.000000,1.540102,0
root:substract,1,492.960782,492.960782,0.000000,492.960782,0
root:trace_estimation,101,383.169897,383.168612,0.001285,3.793749,0
root:jackknife:bins:compute_gxe:UXXz,400,1154.642832,371.836125,782.806707,0.929590,0
root:jackknife:file_io:genotype:compute_maf,454207,223.633052,223.633052,0.000000,0.000492,0
root:jackknife:bins:matrix_setup:matmult_setup,100,181.727547,181.727547,0.000000,1.817275,0
root:jackknife:bins:compute:XXz:XXz:Xt_v,100,153.875763,153.875763,0.000000,1.538758,0
root:jackknife:bins:compute:XXUz:XXz:Xt_v,100,152.517250,152.517250,0.000000,1.525172,0
root:jackknife:bins:compute_gxe:UXXz:XXz:Xv,400,149.841489,149.841489,0.000000,0.374604,0
root:jackknife:bins:compute_gxe:XXUz:XXz:Xv,400,149.513701,149.513701,0.000000,0.373784,0
root:jackknife:bins:matrix_cleanup,100,141.306179,141.306179,0.000000,1.413062,0
root:jackknife:file_io:genotype,100,1470.755022,106.081151,1364.673871,1.060812,0
root:jackknife:bins:compute:UXXz,100,89.096306,89.096306,0.000000,0.890963,0
root:jackknife:bins:compute_gxe:XXUz,400,873.927231,87.596639,786.330592,0.218992,0
root:jackknife:bins:compute_gxe:yXXy:yXXy:Xv,400,65.913062,65.913062,0.000000,0.164783,0
root:jackknife:bins:compute:XXUz:XXz:Xv,100,37.991133,37.991133,0.000000,0.379911,0
root:jackknife:bins:compute:XXz:XXz:Xv,100,37.551878,37.551878,0.000000,0.375519,0
root:jackknife:bins:matrix_setup,100,209.984481,28.256934,181.727547,0.282569,0
root:jackknife:bins:compute:XXUz,100,214.503985,19.785885,194.718100,0.197859,0
root:jackknife:bins:compute_gxe:UXXz:XXz,400,782.806707,16.924495,765.882212,0.042311,0
root:jackknife:bins:compute_gxe:XXUz:XXz,400,786.330592,16.787659,769.542934,0.041969,0
root:jackknife:bins:compute:yXXy:yXXy:Xv,100,16.350170,16.350170,0.000000,0.163502,0
root:jackknife:matrix_setup,100,11.531267,11.531267,0.000000,0.115313,0
root:jackknife:bins:compute:XXUz:XXz,100,194.718100,4.209717,190.508382,0.042097,0
root:jackknife:bins:compute:XXz:XXz,100,195.595137,4.167496,191.427641,0.041675,0
root:file_io:covariate,1,0.801714,0.801714,0.000000,0.801714,0
root:jackknife:bins:compute_gxe:yXXy,400,66.678680,0.697077,65.981604,0.001743,0
root:file_io,1,1.914281,0.536890,1.377391,0.536890,0
root:jackknife:bins:compute:XXz,100,196.088341,0.493204,195.595137,0.004932,0
root:initialize,1,0.793408,0.481984,0.311424,0.481984,0
root:file_io:environment,1,0.329022,0.329022,0.000000,0.329022,0
root:initialize:covariate_regression,1,0.311424,0.311424,0.000000,0.311424,0
root:file_io:phenotype,1,0.182342,0.182342,0.000000,0.182342,0
root:jackknife:bins:compute_gxe:yXXy:yXXy,400,65.981604,0.068542,65.913062,0.000171,0
root:file_io:annotation,1,0.064312,0.064312,0.000000,0.064312,0
root:jackknife:bins:compute:yXXy:yXXy,100,16.404645,0.054476,16.350170,0.000545,0
root:jackknife:bins:compute_gxe,100,2095.260798,0.012054,2095.248744,0.000121,0
root:jackknife,100,4444.943226,0.004779,4444.938447,0.000048,0
root:jackknife:bins,100,2962.651868,0.003479,2962.648390,0.000035,0
root:jackknife:bins:compute,200,516.096931,0.003211,516.093720,0.000016,0
root:trace_estimation:linear_solve,101,0.001285,0.001285,0.000000,0.000013,0
root:jackknife:bins:compute:yXXy,100,16.405088,0.000443,16.404645,0.000004,0
root:jackknife:file_io,100,1470.755312,0.000290,1470.755022,0.000003,0
